ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO;id_meso;codigo_meso;id_micro;codigo_micro;id_micro_meso;id_municipio;codigo_municipio;estado_id;id_produto;codigo_produto
2015;11;3;7;5069;1213110;;75;3;7;7;75;52;5069;18;718;1213110
2015;11;3;7;5069;1213110;;75;3;7;7;75;52;5069;18;718;1213110
2015;11;3;10;300;1215200;;75;3;10;10;75;64;300;18;708;1215200
2015;11;3;7;102;1216040;;75;3;7;7;75;46;102;18;771;1216040
2015;11;3;10;409;1216040;;75;3;10;10;75;65;409;18;771;1216040
2015;11;3;10;2603;1216040;;75;3;10;10;75;67;2603;18;771;1216040
2015;11;4;12;3809;1216040;;76;4;12;12;76;86;3809;18;771;1216040
2015;11;3;7;5069;1216040;;75;3;7;7;75;52;5069;18;771;1216040
2015;11;1;2;136;1310010;;73;1;2;2;73;18;136;18;731;1310010
2015;11;4;12;508;1310010;;76;4;12;12;76;79;508;18;731;1310010
2015;11;1;3;805;1310010;;73;1;3;3;73;25;805;18;731;1310010
2015;11;4;12;1100;1310010;;76;4;12;12;76;81;1100;18;731;1310010
2015;11;1;3;1506;1310010;;73;1;3;3;73;26;1506;18;731;1310010
2015;11;4;11;2009;1310010;;76;4;11;11;76;72;2009;18;731;1310010
2015;11;1;1;2108;1310010;;73;1;1;1;73;16;2108;18;731;1310010
2015;11;4;11;2553;1310010;;76;4;11;11;76;75;2553;18;731;1310010
2015;11;1;1;3304;1310010;;73;1;1;1;73;17;3304;18;731;1310010
2015;11;1;3;4658;1310010;;73;1;3;3;73;30;4658;18;731;1310010
2015;11;3;8;4955;1310010;;75;3;8;8;75;58;4955;18;731;1310010
2015;11;3;7;102;1320010;;75;3;7;7;75;46;102;18;840;1320010
2015;11;1;1;904;1320010;;73;1;1;1;73;15;904;18;840;1320010
2015;11;3;7;1902;1320010;;75;3;7;7;75;49;1902;18;840;1320010
2015;11;1;1;2108;1320010;;73;1;1;1;73;16;2108;18;840;1320010
2015;11;4;11;2553;1320010;;76;4;11;11;76;75;2553;18;840;1320010
2015;11;3;10;2603;1320010;;75;3;10;10;75;67;2603;18;840;1320010
2015;11;4;11;2652;1320010;;76;4;11;11;76;76;2652;18;840;1320010
